iter	Passed	Remaining
635	22461	44640
636	22500	44612
637	22538	44581
638	22575	44549
639	22610	44515
640	22647	44482
641	22686	44453
642	22724	44423
643	22761	44392
644	22797	44357
645	22833	44324
646	22872	44295
647	22910	44265
648	22946	44231
649	22985	44203
650	23024	44174
651	23064	44147
652	23105	44122
653	23143	44092
654	23182	44065
655	23220	44034
656	23255	43998
657	23293	43967
658	23330	43935
659	23366	43901
660	23406	43874
661	23443	43841
662	23485	43818
663	23520	43781
664	23555	43745
665	23593	43714
666	23631	43685
667	23665	43646
668	23706	43620
669	23746	43594
670	23787	43569
671	23830	43548
672	23869	43519
673	23909	43491
674	23944	43454
675	23983	43425
676	24019	43391
677	24058	43362
678	24094	43327
679	24130	43292
680	24168	43262
681	24206	43231
682	24245	43201
683	24282	43169
684	24321	43139
685	24362	43114
686	24404	43088
687	24444	43062
688	24485	43036
689	24525	43008
690	24563	42977
691	24601	42946
692	24639	42914
693	24677	42883
694	24715	42852
695	24751	42817
696	24790	42788
697	24830	42759
698	24866	42725
699	24904	42694
700	24944	42664
701	24988	42643
702	25029	42617
703	25077	42602
704	25126	42591
705	25180	42585
706	25226	42567
707	25274	42552
708	25317	42529
709	25355	42497
710	25391	42462
711	25429	42430
712	25469	42400
713	25513	42380
714	25559	42360
715	25604	42340
716	25646	42314
717	25687	42287
718	25729	42262
719	25772	42239
720	25852	42275
721	25894	42248
722	25929	42211
723	25965	42175
724	26002	42141
725	26036	42102
726	26069	42062
727	26105	42026
728	26139	41988
729	26171	41946
730	26205	41907
731	26238	41866
732	26269	41823
733	26304	41785
734	26337	41746
735	26370	41705
736	26404	41667
737	26442	41634
738	26480	41602
739	26519	41570
740	26557	41538
741	26596	41507
742	26634	41475
743	26673	41443
744	26711	41412
745	26749	41378
746	26785	41342
747	26821	41307
748	26856	41271
749	26892	41235
750	26929	41200
751	26964	41164
752	26999	41126
753	27033	41087
754	27069	41052
755	27117	41035
756	27151	40996
757	27184	40956
758	27218	40917
759	27255	40882
760	27288	40842
761	27320	40801
762	27355	40764
763	27389	40725
764	27422	40685
765	27456	40647
766	27491	40610
767	27533	40583
768	27566	40543
769	27607	40515
770	27640	40475
771	27674	40435
772	27708	40397
773	27740	40355
774	27772	40315
775	27805	40275
776	27838	40234
777	27871	40195
778	27905	40156
779	27939	40118
780	27976	40083
781	28012	40047
782	28047	40011
783	28085	39978
784	28123	39946
785	28161	39912
786	28199	39880
787	28237	39847
788	28275	39815
789	28314	39783
790	28365	39769
791	28406	39740
792	28444	39706
793	28483	39675
794	28521	39643
795	28560	39611
796	28598	39579
797	28636	39546
798	28676	39515
799	28717	39486
800	28754	39452
801	28794	39421
802	28833	39389
803	28869	39354
804	28909	39324
805	28947	39291
806	28984	39256
807	29020	39221
808	29055	39182
809	29089	39144
810	29125	39109
811	29159	39070
812	29192	39030
813	29225	38991
814	29258	38952
815	29292	38913
816	29328	38876
817	29360	38836
818	29393	38796
819	29424	38754
820	29456	38712
821	29487	38671
822	29519	38630
823	29551	38589
824	29583	38547
825	29615	38507
826	29646	38465
827	29678	38424
828	29712	38386
829	29747	38348
830	29779	38308
831	29813	38269
832	29846	38230
833	29880	38192
834	29912	38152
835	29944	38111
836	29979	38074
837	30011	38034
838	30044	37994
839	30077	37954
840	30111	37916
841	30143	37876
842	30176	37836
